customer_id,country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12583,France,9,13,7166.0599999999995,4,4,4,444,Champions
12586,Italy,10,3,1865.73,4,3,4,434,Loyal Customers
12588,Finland,35,3,743.8799999999999,3,3,3,333,Loyal Customers
12589,France,57,6,4048.9800000000005,2,4,4,244,At Risk
12591,Italy,26,2,899.3000000000001,3,2,3,323,Potential
12592,Germany,155,3,2145.0599999999995,1,3,4,134,At Risk
12594,Italy,14,5,1751.89,4,3,4,434,Loyal Customers
12595,Germany,140,1,299.02000000000004,1,1,1,111,Lost
12598,France,99,3,1511.0099999999998,2,3,3,233,At Risk
12599,France,17,6,1264.1399999999999,4,4,3,443,Champions
12600,Germany,7,12,2444.88,4,4,4,444,Champions
12601,Germany,40,1,104.2,3,1,1,311,Potential
12605,Germany,12,4,1232.9499999999998,4,3,3,433,Loyal Customers
12606,Spain,318,1,21.0,1,1,1,111,Lost
12608,United Kingdom,40,1,415.78999999999996,3,1,2,312,Potential
12609,Germany,10,6,2309.01,4,4,4,444,Champions
12613,Germany,24,5,3490.69,3,3,4,334,Loyal Customers
12615,France,49,4,3449.79,3,3,4,334,Loyal Customers
12616,France,24,1,417.79999999999995,3,1,2,312,Potential
12619,Germany,196,1,140.14,1,1,1,111,Lost
12621,Germany,1,16,11086.14,4,4,4,444,Champions
12623,Germany,52,6,3442.74,3,4,4,344,Loyal Customers
12625,Germany,145,2,2481.06,1,2,4,124,Lost
12629,Sweden,21,2,1558.2200000000003,3,2,3,323,Potential
12631,Finland,92,5,2841.0699999999997,2,3,4,234,At Risk
12632,Germany,156,2,804.8800000000001,1,2,3,123,Lost
12633,Germany,18,3,3514.18,4,3,4,434,Loyal Customers
12634,USA,171,2,490.0,1,2,2,122,Lost
12635,Germany,28,2,1241.23,3,2,3,323,Potential
12636,USA,374,1,141.0,1,1,1,111,Lost
12637,France,14,4,2318.41,4,3,4,434,Loyal Customers
12638,Sweden,275,1,249.8,1,1,1,111,Lost
12639,Sweden,70,2,826.27,2,2,3,223,Lost
12643,France,21,6,5005.78,3,4,4,344,Loyal Customers
12644,Germany,66,3,1440.5800000000002,2,3,3,233,At Risk
12645,Germany,45,4,1764.12,3,3,4,334,Loyal Customers
12647,Germany,3,26,14201.53,4,4,4,444,Champions
12648,Germany,73,3,793.95,2,3,3,233,At Risk
12649,Germany,18,5,1671.1399999999999,4,3,3,433,Loyal Customers
12651,France,14,3,263.75,4,3,1,431,Loyal Customers
12652,Germany,70,1,97.05000000000001,2,1,1,211,Lost
12653,Israel,162,1,1950.98,1,1,4,114,Lost
12655,France,59,1,261.35,2,1,1,211,Lost
12656,France,61,3,2356.66,2,3,4,234,At Risk
12661,Sweden,72,1,162.00000000000003,2,1,1,211,Lost
12662,Germany,9,10,3138.2400000000002,4,4,4,444,Champions
12663,Germany,260,2,239.4,1,2,1,121,Lost
12664,Finland,150,2,1188.16,1,2,3,123,Lost
12665,Germany,53,2,250.60000000000002,3,2,1,321,Potential
12666,Israel,30,1,1248.42,3,1,3,313,Potential
12668,Germany,14,6,7637.53,4,4,4,444,Champions
12670,France,21,2,764.2399999999999,3,2,3,323,Potential
12671,Germany,242,1,2622.481,1,1,4,114,Lost
12672,France,231,1,211.15000000000003,1,1,1,111,Lost
12673,Germany,37,1,619.5,3,1,2,312,Potential
12675,Italy,189,2,958.5000000000001,1,2,3,123,Lost
12676,Sweden,44,5,1511.7,3,3,3,333,Loyal Customers
12677,France,191,2,395.09999999999997,1,2,2,122,Lost
12678,France,11,9,16652.72,4,4,4,444,Champions
12681,France,3,24,17080.74,4,4,4,444,Champions
12682,France,1,23,11745.69,4,4,4,444,Champions
12683,France,1,8,4220.21,4,4,4,444,Champions
12686,France,7,1,89.14,4,1,1,411,Potential
12687,Sweden,116,2,2138.91,2,2,4,224,Lost
12691,France,56,1,134.6,2,1,1,211,Lost
12692,France,273,1,110.95,1,1,1,111,Lost
12693,Germany,32,3,847.1099999999999,3,3,3,333,Loyal Customers
12694,France,57,1,973.68,2,1,3,213,Lost
12695,France,164,3,825.02,1,3,3,133,At Risk
12696,Finland,70,2,851.91,2,2,3,223,Lost
12698,Germany,226,1,339.75,1,1,2,112,Lost
12699,Germany,53,1,638.11,3,1,2,312,Potential
12701,Germany,165,4,1648.7,1,3,3,133,At Risk
12703,Germany,269,3,722.98,1,3,3,133,At Risk
12705,Germany,19,5,4893.81,3,3,4,334,Loyal Customers
12708,Germany,4,9,2601.19,4,4,4,444,Champions
12709,Germany,2,19,21356.82,4,4,4,444,Champions
12711,Germany,247,2,1339.05,1,2,3,123,Lost
12712,Germany,1,10,2797.5299999999997,4,4,4,444,Champions
12714,France,24,7,9384.849999999999,3,4,4,344,Loyal Customers
12717,Greece,226,1,277.93,1,1,1,111,Lost
12720,Germany,5,6,2478.9399999999996,4,4,4,444,Champions
12721,France,21,2,1356.9499999999998,3,2,3,323,Potential
12724,France,19,3,1286.11,3,3,3,333,Loyal Customers
12725,Italy,7,4,2266.76,4,3,4,434,Loyal Customers
12726,France,23,4,1405.5,3,3,3,333,Loyal Customers
12727,France,78,3,1698.83,2,3,3,233,At Risk
12728,France,19,1,233.84,3,1,1,311,Potential
12730,Germany,157,1,829.2500000000001,1,1,3,113,Lost
12731,France,78,5,6879.8,2,3,4,234,At Risk
12733,USA,25,3,2040.9199999999998,3,3,4,334,Loyal Customers
12734,France,10,2,529.25,4,2,2,422,Potential
12737,France,134,2,3710.5,2,2,4,224,Lost
12738,Germany,8,1,155.35,4,1,1,411,Potential
12739,United Arab Emirates,21,2,1713.69,3,2,3,323,Potential
12741,USA,165,2,406.07000000000005,1,2,2,122,Lost
12742,United Arab Emirates,261,1,1201.5200000000002,1,1,3,113,Lost
12744,Singapore,95,4,4037.77,2,3,4,234,At Risk
12745,EIRE,122,3,925.4099999999999,2,3,3,233,At Risk
12746,United Kingdom,176,1,254.55,1,1,1,111,Lost
12747,United Kingdom,5,16,5080.53,4,4,4,444,Champions
12748,United Kingdom,1,144,22879.66,4,4,4,444,Champions
12749,United Kingdom,35,4,2806.4800000000005,3,3,4,334,Loyal Customers
12751,Brazil,80,1,268.27,2,1,1,211,Lost
12755,Japan,1,10,5218.709999999999,4,4,4,444,Champions
12758,Portugal,95,5,7111.650000000001,2,3,4,234,At Risk
12759,Netherlands,22,5,3489.3,3,3,4,334,Loyal Customers
12760,Netherlands,91,1,347.8,2,1,2,212,Lost
12761,Netherlands,93,2,782.9499999999999,2,2,3,223,Lost
12763,Japan,5,1,320.08000000000004,4,1,2,412,Potential
12765,Netherlands,108,6,1404.58,2,4,3,243,At Risk
12766,Portugal,2,3,3078.65,4,3,4,434,Loyal Customers
12767,Korea,11,1,949.82,4,1,3,413,Potential
12768,Korea,86,1,168.69000000000003,2,1,1,211,Lost
12770,Japan,92,1,1895.0,2,1,4,214,Lost
12771,Portugal,121,1,282.3,2,1,1,211,Lost
12773,Portugal,200,1,124.25,1,1,1,111,Lost
12774,Netherlands,171,1,98.7,1,1,1,111,Lost
12775,Netherlands,24,2,300.08000000000004,3,2,1,321,Potential
12776,Portugal,303,1,55.5,1,1,1,111,Lost
12777,United Kingdom,93,1,519.45,2,1,2,212,Lost
12778,Netherlands,32,3,953.4499999999999,3,3,3,333,Loyal Customers
12779,Poland,7,7,2740.9100000000003,4,4,4,444,Champions
12780,Netherlands,234,1,337.3999999999999,1,1,2,112,Lost
12782,Portugal,10,6,2287.32,4,4,4,444,Champions
12784,Portugal,165,1,1230.3300000000002,1,1,3,113,Lost
12785,Portugal,171,2,788.45,1,2,3,123,Lost
12786,Netherlands,245,1,728.5000000000001,1,1,3,113,Lost
12787,Netherlands,49,1,398.52,3,1,2,312,Potential
12788,Netherlands,99,4,444.90000000000003,2,3,2,232,At Risk
12789,Netherlands,148,2,181.5,1,2,1,121,Lost
12790,Netherlands,46,1,266.92999999999995,3,1,1,311,Potential
12791,Netherlands,9,6,863.51,4,4,3,443,Champions
12792,Portugal,170,1,426.46999999999997,1,1,2,112,Lost
12793,Portugal,7,2,471.85,4,2,2,422,Potential
12796,Netherlands,264,1,381.0,1,1,2,112,Lost
12797,Portugal,1,2,552.08,4,2,2,422,Potential
12798,Japan,57,1,1533.8899999999999,2,1,3,213,Lost
12799,Japan,165,1,219.35000000000002,1,1,1,111,Lost
12800,Portugal,106,3,584.25,2,3,2,232,At Risk
12801,Sweden,136,1,1071.8200000000002,2,1,3,213,Lost
12802,Netherlands,78,6,1988.8400000000001,2,4,4,244,At Risk
12803,Netherlands,29,1,1092.8100000000002,3,1,3,313,Potential
12804,Netherlands,101,2,327.02000000000004,2,2,2,222,Lost
12805,Netherlands,17,4,1434.9499999999998,4,3,3,433,Loyal Customers
12806,Netherlands,71,4,2878.959999999999,2,3,4,234,At Risk
12807,Sweden,19,1,330.35,3,1,2,312,Potential
12808,Portugal,4,3,422.45000000000005,4,3,2,432,Loyal Customers
12809,Portugal,201,2,1266.63,1,2,3,123,Lost
12810,Japan,170,2,534.99,1,2,2,122,Lost
12811,Portugal,14,2,519.0500000000001,4,2,2,422,Potential
12813,Netherlands,137,3,1687.8000000000002,1,3,3,133,At Risk
12817,Austria,35,2,524.94,3,2,2,322,Potential
12819,United Kingdom,94,1,540.52,2,1,2,212,Lost
12820,United Kingdom,33,7,1747.1799999999998,3,4,4,344,Loyal Customers
12821,United Kingdom,247,1,128.08,1,1,1,111,Lost
12823,United Kingdom,30,13,4742.0,3,4,4,344,Loyal Customers
12825,United Kingdom,157,2,518.6299999999999,1,2,2,122,Lost
12826,United Kingdom,1,6,1481.03,4,4,3,443,Champions
12829,United Kingdom,186,1,92.30000000000001,1,1,1,111,Lost
12831,United Kingdom,99,2,236.06,2,2,1,221,Lost
12835,United Kingdom,63,41,6043.31,2,4,4,244,At Risk
12836,United Kingdom,25,11,3972.76,3,4,4,344,Loyal Customers
12837,United Kingdom,205,1,554.3100000000001,1,1,2,112,Lost
12838,United Kingdom,9,9,2715.35,4,4,4,444,Champions
12839,United Kingdom,3,13,4480.3099999999995,4,4,4,444,Champions
12840,United Kingdom,73,3,1315.2,2,3,3,233,At Risk
12841,United Kingdom,5,17,3518.33,4,4,4,444,Champions
12842,United Kingdom,40,2,799.0,3,2,3,323,Potential
12843,United Kingdom,18,22,4886.15,4,4,4,444,Champions
12844,United Kingdom,78,2,322.64,2,2,2,222,Lost
12846,United Kingdom,318,1,15.58,1,1,1,111,Lost
12847,United Kingdom,23,1,765.36,3,1,3,313,Potential
12848,United Kingdom,311,1,208.0,1,1,1,111,Lost
12849,United Kingdom,17,4,2039.67,4,3,4,434,Loyal Customers
12850,United Kingdom,81,1,330.0,2,1,2,212,Lost
12851,United Kingdom,113,1,148.95,2,1,1,211,Lost
12853,United Kingdom,63,5,1950.4,2,3,4,234,At Risk
12854,United Kingdom,197,4,1669.52,1,3,3,133,At Risk
12855,United Kingdom,8,4,612.84,4,3,2,432,Loyal Customers
12857,United Kingdom,72,4,2581.6,2,3,4,234,At Risk
12858,United Kingdom,19,1,177.92,3,1,1,311,Potential
12859,United Kingdom,94,1,575.0999999999999,2,1,2,212,Lost
12860,United Kingdom,329,1,55.47,1,1,1,111,Lost
12861,United Kingdom,255,1,68.25,1,1,1,111,Lost
12862,United Kingdom,61,2,1008.3199999999999,2,2,3,223,Lost
12863,United Kingdom,15,5,2271.35,4,3,4,434,Loyal Customers
12864,United Kingdom,144,1,152.45,1,1,1,111,Lost
12865,Austria,14,2,1755.24,4,2,4,424,Potential
12866,Belgium,110,2,668.23,2,2,2,222,Lost
12867,United Kingdom,33,6,3876.4700000000003,3,4,4,344,Loyal Customers
12868,United Kingdom,9,3,640.0,4,3,2,432,Loyal Customers
12869,United Kingdom,317,1,337.6700000000001,1,1,2,112,Lost
12870,United Kingdom,11,3,1676.9500000000003,4,3,3,433,Loyal Customers
12871,United Kingdom,75,1,363.38,2,1,2,212,Lost
12872,United Kingdom,1,11,3085.52,4,4,4,444,Champions
12873,United Kingdom,33,2,1653.3000000000002,3,2,3,323,Potential
12874,Belgium,21,2,948.4200000000001,3,2,3,323,Potential
12875,United Kingdom,107,3,1013.76,2,3,3,233,At Risk
12876,Belgium,30,2,1863.77,3,2,4,324,Potential
12877,United Kingdom,37,8,1419.4,3,4,3,343,Loyal Customers
12880,United Kingdom,17,2,640.1300000000001,4,2,2,422,Potential
12887,United Kingdom,19,1,222.4,3,1,1,311,Potential
12889,United Kingdom,17,4,385.46000000000004,4,3,2,432,Loyal Customers
12890,United Kingdom,23,1,336.79999999999995,3,1,2,312,Potential
12891,United Kingdom,94,8,509.5,2,4,2,242,At Risk
12892,United Kingdom,32,1,263.38,3,1,1,311,Potential
12894,United Kingdom,211,1,157.35,1,1,1,111,Lost
12897,United Kingdom,17,2,297.75,4,2,1,421,Potential
12898,United Kingdom,99,2,310.96000000000004,2,2,2,222,Lost
12899,United Kingdom,49,1,366.4,3,1,2,312,Potential
12900,United Kingdom,58,1,340.33000000000004,2,1,2,212,Lost
12903,United Kingdom,64,1,833.5300000000001,2,1,3,213,Lost
12905,United Kingdom,212,2,1018.4200000000001,1,2,3,123,Lost
12907,United Kingdom,31,2,508.90999999999997,3,2,2,322,Potential
12908,United Kingdom,16,3,1026.0,4,3,3,433,Loyal Customers
12909,United Kingdom,60,3,924.52,2,3,3,233,At Risk
12910,United Kingdom,15,5,2721.48,4,3,4,434,Loyal Customers
12911,United Kingdom,187,1,1680.4699999999998,1,1,3,113,Lost
12913,United Kingdom,4,9,4217.23,4,4,4,444,Champions
12914,United Kingdom,36,1,223.98,3,1,1,311,Potential
12915,United Kingdom,8,3,811.0999999999999,4,3,3,433,Loyal Customers
12916,United Kingdom,78,3,1647.87,2,3,3,233,At Risk
12917,United Kingdom,36,5,3765.2,3,3,4,334,Loyal Customers
12918,United Kingdom,262,1,10953.5,1,1,4,114,Lost
12920,United Kingdom,207,2,323.86,1,2,2,122,Lost
12921,United Kingdom,2,39,19333.95,4,4,4,444,Champions
12923,United Kingdom,26,2,612.9000000000001,3,2,2,322,Potential
12924,United Kingdom,29,8,1535.7,3,4,3,343,Loyal Customers
12925,United Kingdom,228,1,35.28,1,1,1,111,Lost
12926,United Kingdom,47,4,1548.46,3,3,3,333,Loyal Customers
12927,United Kingdom,30,1,197.31,3,1,1,311,Potential
12928,United Kingdom,14,7,2242.19,4,4,4,444,Champions
12931,United Kingdom,16,41,50291.38,4,4,4,444,Champions
12932,United Kingdom,175,8,1698.5600000000002,1,4,3,143,At Risk
12933,United Kingdom,16,5,1079.5,4,3,3,433,Loyal Customers
12934,United Kingdom,372,1,181.65,1,1,1,111,Lost
12935,United Kingdom,11,8,2083.1600000000003,4,4,4,444,Champions
12937,United Kingdom,99,5,1593.34,2,3,3,233,At Risk
12939,United Kingdom,15,11,13683.0,4,4,4,444,Champions
12941,United Kingdom,360,1,377.49000000000007,1,1,2,112,Lost
12942,United Kingdom,1,1,258.75,4,1,1,411,Potential
12943,United Kingdom,194,2,496.5,1,2,2,122,Lost
12945,United Kingdom,292,1,437.16,1,1,2,112,Lost
12946,United Kingdom,72,1,324.45,2,1,2,212,Lost
12947,United Kingdom,9,1,304.03999999999996,4,1,1,411,Potential
12948,United Kingdom,366,2,252.48000000000002,1,2,1,121,Lost
12949,United Kingdom,18,13,11359.48,4,4,4,444,Champions
12951,United Kingdom,22,9,2149.65,3,4,4,344,Loyal Customers
12953,United Kingdom,158,1,498.96,1,1,2,112,Lost
12954,United Kingdom,274,1,162.45,1,1,1,111,Lost
12956,United Kingdom,320,3,413.81999999999994,1,3,2,132,At Risk
12957,United Kingdom,177,5,4689.43,1,3,4,134,At Risk
12958,United Kingdom,36,2,539.49,3,2,2,322,Potential
12959,United Kingdom,120,1,150.95,2,1,1,211,Lost
12960,United Kingdom,49,4,1322.07,3,3,3,333,Loyal Customers
12961,United Kingdom,15,1,211.99,4,1,1,411,Potential
12963,United Kingdom,1,5,1744.96,4,3,4,434,Loyal Customers
12964,United Kingdom,73,1,132.23999999999998,2,1,1,211,Lost
12967,United Kingdom,7,2,2646.0200000000004,4,2,4,424,Potential
12969,United Kingdom,238,1,122.45,1,1,1,111,Lost
12970,United Kingdom,16,6,1072.73,4,4,3,443,Champions
12971,United Kingdom,2,32,4782.88,4,4,4,444,Champions
12972,United Kingdom,49,4,1161.2000000000003,3,3,3,333,Loyal Customers
12973,United Kingdom,49,1,385.55,3,1,2,312,Potential
12974,United Kingdom,201,1,264.15,1,1,1,111,Lost
12975,United Kingdom,72,6,2100.0899999999997,2,4,4,244,At Risk
12976,United Kingdom,14,7,2417.78,4,4,4,444,Champions
12977,United Kingdom,137,3,478.39,1,3,2,132,At Risk
12978,United Kingdom,21,5,2502.82,3,3,4,334,Loyal Customers
12979,United Arab Emirates,365,1,517.7,1,1,2,112,Lost
12980,United Kingdom,22,12,8870.880000000001,3,4,4,344,Loyal Customers
12982,United Kingdom,30,7,2354.27,3,4,4,344,Loyal Customers
12983,United Kingdom,234,1,490.08000000000004,1,1,2,112,Lost
12986,United Kingdom,64,10,2729.84,2,4,4,244,At Risk
12987,United Kingdom,56,3,753.51,2,3,3,233,At Risk
12989,United Kingdom,60,17,6627.64,2,4,4,244,At Risk
12990,United Kingdom,53,4,546.0,3,3,2,332,Loyal Customers
12991,United Kingdom,25,1,261.05999999999995,3,1,1,311,Potential
12992,United Kingdom,361,1,93.35000000000001,1,1,1,111,Lost
12993,United Kingdom,81,4,844.8699999999999,2,3,3,233,At Risk
12996,United Kingdom,11,1,355.5,4,1,2,412,Potential
12997,United Kingdom,30,4,884.02,3,3,3,333,Loyal Customers
12998,United Kingdom,128,3,920.0799999999999,2,3,3,233,At Risk
13000,United Kingdom,361,1,497.6500000000001,1,1,2,112,Lost
13001,United Kingdom,40,20,14353.279999999999,3,4,4,344,Loyal Customers
13002,United Kingdom,52,2,293.18000000000006,3,2,1,321,Potential
13004,United Kingdom,22,18,5994.94,3,4,4,344,Loyal Customers
13005,United Kingdom,67,2,485.9799999999999,2,2,2,222,Lost
13007,United Kingdom,215,1,175.25,1,1,1,111,Lost
13008,United Kingdom,33,2,382.65999999999997,3,2,2,322,Potential
13009,United Kingdom,308,1,234.0,1,1,1,111,Lost
13010,United Kingdom,10,2,330.12,4,2,2,422,Potential
13011,United Kingdom,8,1,50.550000000000004,4,1,1,411,Potential
13012,United Kingdom,65,3,1310.99,2,3,3,233,At Risk
13013,United Kingdom,7,18,7814.83,4,4,4,444,Champions
13014,United Kingdom,68,1,1914.8,2,1,4,214,Lost
13015,United Kingdom,74,6,3240.1400000000003,2,4,4,244,At Risk
13018,United Kingdom,49,7,2485.46,3,4,4,344,Loyal Customers
13019,United Kingdom,15,6,1229.95,4,4,3,443,Champions
